Characteristic;Description;Level;Level Description;Related Work;Activities;Tool;Recommendation;Priority
;;5;Influence company strategy by embedding discovery in every product decision and strategic bet.;"CPO / Head of Product — co-own long-term value strategy
CEO / Sales / Investor Relations — validate strategic risks with real users
Innovation / R&D — translate unmet needs into bold bets
";"Use discovery insights to shape long-term vision
Present customer narratives in executive or investor pitches
Run advanced jobs-to-be-done segmentation and trend analysis
";"Segment / Amplitude + qualitative overlays
UserTesting, Wynter – advanced message + concept validation
Jobs Atlas, Value Prop Canvas – strategic positioning
";"	Book: Competing Against Luck by Clayton Christensen
	Workshop: JTBD & Innovation Strategy – Strategyn or Tony Ulwick
	Case Studies: Airbnb, Intercom, and Spotify discovery cultures
🚀 Growth Recommendations:
Frame discovery insights into strategic themes (e.g. underserved segments)
Lead workshops that combine discovery, strategy, and vision
Build a voice-of-customer system that informs quarterly planning
";
Product & Market Discovery;The strategic capability to analyze markets, competition, industry dynamics, and innovation opportunities to inform product positioning, prioritization, and direction. It focuses on uncovering what’s possible and what’s valuable in the broader business landscape — especially critical for B2B, platform products, consulting PMs, and PMs working on product-market fit or expansion.;1;Develop basic understanding of how external market factors affect product decisions.;"Product Marketing – shares competitor messaging
Sales / Presales – provides deal blockers, buyer pain
UX Research – helps distinguish user vs market problems
";"Read competitor websites or pitch decks
Follow industry blogs or product launches
Attend internal sessions where market insights are presented
";Google Alerts, Product Hunt, Crunchbase (lite), LinkedIn;"Summarize a competitor's positioning in 3 bullet points
Identify key trends from your product’s industry
Ask: “What external trends might influence our roadmap?”";"Keep Product & Market Discovery separate, as it's broader than customer discovery and deserves strategic attention
Clarify relationships between the overlapping categories in descriptions and maybe even in the assessment tool itself:
e.g. “If you score high here, consider also improving XYZ”
Make the domain dynamic, depending on PM type:
B2B PMs need more weight on this
Early-stage startup PMs might mix it into Strategy
B2C PMs may rely more on Customer Discovery
"
;;2;Conduct structured discovery of competitors and market segments.;"Sales – uncovers objections, deal blockers
BizDev – sees partner dynamics
Strategy / BizOps – provides TAM estimates
";"Create a basic market map or competitor matrix
Identify key buying criteria or value gaps
Support ICP (Ideal Customer Profile) definition
Analyze feedback from sales or partners on client objections
";"G2, Capterra, App Store reviews
Google Trends, Ahrefs / Ubersuggest
Business Model Canvas, Value Proposition Canvas
";"Book: Blue Ocean Strategy; Canvas templates; Lean Competitive Analysis
Interview sales or success reps about customer patterns
Build a SWOT analysis for your top 3 competitors
Join competitive intel Slack channels or Notion pages
";
;;3;Independently analyze and validate product opportunities based on market, segment, or buyer insights.;"GTM teams – to validate messaging and value props
Finance – to vet pricing assumptions
Legal / Policy – to assess compliance risk (in regulated markets)
";"Define business cases for new features or products; Analyze competitor gaps; Assess pricing benchmarks; Lead benchmarking sessions.";"Lean Canvas, Strategyzer tools
Market mapping in Miro or Pitch
Apollo, Similarweb, Crunchbase (deep use)
";"Book: Crossing the Chasm; Course: Strategyzer Market Discovery; Podcast: acquired.fm
Build a full “Product Opportunity Assessment” doc
Use customer discovery to validate market size + need
Track competitive moves quarterly and share insights with your team
";
;;4;Guide cross-team market discovery efforts to shape portfolio strategy or expansion decisions.;"Sales Enablement – helps adapt product story for new verticals
Strategy / C-level – for expansion planning
Partners / Alliances – input into market fit
";"Lead cross-functional opportunity sizing efforts
Validate vertical or regional expansions
Guide teams on defining product-market fit by segment
Create competitive GTM readiness checklists
";"Segment, Apollo, Clearbit – market segmentation
Win/loss tools or interviews
Internal Notion hub for market intelligence
";"Harvard Business Review case studies; Course: Reforge Growth Strategy; Resource: CB Insights newsletters
Create a “discovery playbook” for new markets or verticals
Lead a cross-functional innovation scan
Benchmark your product’s category against future entrants
";
;;5;Shape product and company strategy by synthesizing global trends, competition, and emerging market shifts.;"Founders / CPO / CEO – define macro-strategy
Board / Investors – pressure-test growth bets
Industry analysts / press – shape perception

";"Define product bets aligned with major market opportunities
Author market-entry or category-creation proposals
Influence investor, C-suite, or board-level strategy
Guide product vision through external ecosystem shifts
";"CB Insights, Pitchbook, Statista, McKinsey insights
Portfolio analysis frameworks (Ansoff, GE Matrix)
Category design narratives

";"Book: Play Bigger (category design); McKinsey trend reports; Podcast: Masters of Scale
Publish internal strategy memos on market opportunities
Lead annual discovery cycles (e.g., “Where should we go next?”)
Speak at industry panels or contribute to thought leadership
";
Stakeholder Collaboration;Ability to align with stakeholders and manage cross-functional expectations.;1;Recognize the importance of stakeholder relationships and begin observing team dynamics.;"Engineers receive and interpret requirements; Designers translate feedback into UX; QA reports bugs and timeline risks.";"Attend cross-functional meetings; Observe PMs managing stakeholder updates; Take notes on feedback from other roles.

Understand who your stakeholders are across functions; learn their roles and communication styles	Create a stakeholder map; introduce yourself and ask about their goals";Slack (read-only), Zoom (note-taking), Confluence (view-only), Miro (view maps);"Article: Atlassian Stakeholder Management; Book: Radical Candor (intro)
List key stakeholders in your product area; Attend 1:1s with shadow PM; Reflect on conflicting perspectives.
Create a stakeholder directory; Schedule shadowing with senior PMs; Reflect on meeting dynamics.";
;;2;Engage stakeholders proactively and contribute to transparent information flow.;"Designers share early mockups; Engineers raise concerns on feasibility; Support shares user complaints and requests.";"Draft status updates; Capture feedback from internal users; Run feedback syncs; Schedule and document decisions.

Proactively share progress and risks with functional partners (Design, Eng, Sales, CS); clarify dependencies	Schedule regular check-ins with key cross-functional contacts";Confluence (update pages), Loom (share async updates), Notion (feedback docs), Jira (ticket linkage);"Book: Crucial Conversations; Course: Communication for Product Managers (Udemy)
Host your first stakeholder sync; Share regular updates; Learn to summarize without losing nuance
Host first stakeholder sync; Log feedback in shared doc; Practice summarizing stakeholder goals in 2 sentences.";
;;3;Manage ongoing stakeholder expectations and alignment across product development cycles.;"Engineering leads plan resourcing; Marketing aligns messaging; Sales/CS need timelines for customer comms.";"Run regular syncs and retros; Manage dependencies; Address concerns early; Propose trade-offs transparently.

Facilitate rituals that involve multiple functions; ensure feedback loops and decision clarity across org	Co-run design reviews, QA handoffs, or enablement sessions with other teams";Miro (stakeholder maps), Google Slides (roadmap decks), Figma (comment and tag flows), StatusHero or Range;"Book: The Art of Product Management (Gibson Biddle); Workshop: Stakeholder Alignment Labs
Run retrospective on communication breakdowns; Define stakeholder personas and comm plans.
Lead a roadmap walkthrough with 3+ teams; Resolve a live prioritization conflict; Document RACI matrix.";
;;4;Facilitate structured stakeholder collaboration practices across teams and initiatives.;"Product Ops defines PM rituals; GTM sets launch goals; Strategy reviews milestone alignment with business plans.";"Standardize feedback loops; Define cross-team operating cadence; Escalate blockers constructively; Lead alignment ceremonies.
Lead x-functional planning sessions; advocate for partner teams’ needs while advancing product goals	Create and drive stakeholder-facing delivery dashboards and updates";"Asana/ClickUp (task tracking); Retool or Notion Dashboards; Lucidchart (process flows); OKR dashboards";"Podcast: Lenny's Podcast; Article: 'Influence Without Authority' summary; Book: Team of Teams
Build scalable update templates; Facilitate stakeholder onboarding for new PMs; Coach others on handling conflict.
Build stakeholder operating cadences; Lead cross-functional OKR sync; Onboard new PMs into comm process.";
;;5;Create and lead strategic stakeholder engagement frameworks that influence roadmap and product direction.;"CPO aligns orgs on bets; CEO communicates vision; Board challenges roadmap risk; Partnerships align incentives.";"Design stakeholder maps for complex orgs; Shape roadmap with exec buy-in; Navigate competing agendas; Manage exec or board-level expectations.
Build long-term relationships with stakeholders; influence decisions and strategy alignment across departments	Represent PM org in x-functional steering committees or exec reviews";"Custom dashboards (Tableau, Amplitude, Looker); Pitch/PowerPoint for board decks; Stakeholder CRM tools";"Book: Influence (Cialdini); Course: Strategic Stakeholder Communication (Reforge); Templates: Stakeholder Risk Mapping
Create influence map; Pilot stakeholder feedback councils; Facilitate strategy sessions with C-suite
Run stakeholder influence mapping; Facilitate roadmap alignment with execs; Create voice-of-stakeholder summaries.";
Technical Fluency;"Understanding of technical systems, APIs, architecture, and dev constraints.
Technical fluency is the PM’s ability to understand, communicate, and reason about technology and architecture—not to build things themselves, but to make informed decisions, translate requirements, and collaborate effectively with technical teams.";1;You understand the basic architecture of how digital products work and can observe how technical decisions influence product outcomes.;"Engineers explain system constraints, APIs, or scalability issues
QA talks about automation and test frameworks
Designers rely on PMs to know what is technically feasible
";"Sit in on sprint planning to observe terminology
Review developer documentation or architecture diagrams
Learn common backend/frontend/cloud terminology
Ask engineers to explain system dependencies
";"Swagger / Postman (view APIs) – Understand endpoints
Lucidchart / draw.io (read diagrams) – Comprehend system flows
VS Code (read-only) – View file structure or configs
GitHub (read-only) – Read changelogs or pull request titles
";"	Book: “The Product Manager's Guide to Tech” by Josh Anon
	Video: Crash Course – Web Development Basics
	Course: Frontend Masters: Computer Science for PMs
🌱 Growth Recommendations:
Ask engineers to walk you through “a day in their stack”
Create a glossary of key system terms for your team
Map out your product’s architecture with a developer
";
;;2;You can engage in technical conversations, ask clarifying questions, and make trade-off decisions with basic engineering understanding.;"Backend engineers suggest DB or infra changes
SREs flag technical debt or uptime concerns
Designers ask about animation or layout constraints
";"Translate product problems into technically relevant terms
Collaborate on effort estimation and sequencing
Support QA efforts with test case awareness
Understand API contracts and SDK constraints
";"Postman (test API endpoints)
Swagger (review API docs)
Jira (review dev subtasks & dependencies)
GitHub (review commits & PR descriptions)
";"	Book: “Decode and Conquer” (Ch. on Technical PMs)
	Course: Udemy – APIs for Beginners, DevOps 101
	Cheatsheet: Web dev stack (HTML/CSS/JS/REST overview)
🌱 Growth Recommendations:
Conduct tech trade-off retrospectives with your team
Build a mock app using no-code tools and explain logic
Learn to differentiate between tech debt, bugs, and complexity
";
;;3;You independently manage product trade-offs, collaborate on architecture discussions, and advocate for technical improvements.;"Tech leads discuss architectural evolution
QA suggests tooling improvements for release quality
DevOps integrates observability into roadmap initiatives
";"Evaluate impact of tech debt vs. feature work
Shape MVP scope by understanding engineering cost
Prioritize refactoring or infra tickets with engineers
Participate in sprint planning with dependency awareness
";"DataDog / Grafana / Sentry – Monitor product stability
Retool / PostHog – Build internal tooling or instrumentation
Amplitude / Segment – Discuss events and event naming
Jira Automation – Automate workflows tied to deployment
";"	Book: “The Phoenix Project” – DevOps storytelling
	Course: Lenny’s Guide to PM-Eng Collaboration
	Video: Google Talks – Architecture 101 for Product Leaders
🌱 Growth Recommendations:
Run a “Why This Was Hard” postmortem with eng after complex features
Write your own “Tech Constraints” section for PRDs
Propose 1 infra initiative and advocate it to leadership
";
;;4;You lead product decisions with strong awareness of technical context and influence engineering strategy through structured collaboration.;"Architects plan migration; PMs drive business cases
Legal/Privacy review implications of technical changes
Product Ops integrates metrics into workflows

";"Align business priorities with tech evolution (e.g. replatforming)
Evaluate build vs. buy or vendor integration options
Co-lead technical roadmap tracks with eng leadership
Ensure scalability and performance align with product goals
";"	Terraform / AWS Console (read-only) – Review infra structure
	Architecture Decision Records (ADR) – Documenting technical rationale
	Feature Flags (LaunchDarkly) – Manage rollouts & risk
	Engineering Dashboards – Track velocity & stability

";"	Book: “Inspired” by Marty Cagan (Tech chapters)
	Course: Reforge Tech-Enabled PM Track
	Video: Martin Fowler’s talks on architecture evolution
🌱 Growth Recommendations:
Lead eng trade-off discussions in roadmap rituals
Build shared product-tech KPI dashboards
Create a tech strategy presentation for non-technical teams
";
;;5;You shape cross-functional strategy grounded in architectural awareness and futureproofing. You influence hiring, systems design, and platform-level investments.;"CTO/CPO alignment on long-term bets
InfoSec enforces compliance requirements
Principal Engineers model cross-org system blueprints

";"Influence system architecture trade-offs tied to business goals
Co-own platform/product boundaries with CTO or principal engineers
Define scale readiness, data privacy, or performance principles
Represent product vision in architectural steering meetings

";"System Design Diagrams (C4, Archimate) – To guide platform scope
Board-level infra strategy decks (Figma + Notion/Slide)
Open Telemetry, Observability Dashboards – Strategy-linked monitoring
Product Quality Metrics – Latency, errors, performance KPIs
";"	Book: “Team Topologies”; “Accelerate” (DevOps research)
	Course: CTO Academy – Strategic Tech Fluency
	Podcast: Software Engineering Daily (non-technical PM episodes)
🌱 Growth Recommendations:
Create business case for platform evolution
Document cross-product tech needs and communicate them upstream
Coach PMs on how to read architecture diagrams
";
Data Literacy;Data literacy for product managers is the ability to access, interpret, question, and apply data to drive product decisions. It spans from reading dashboards to defining meaningful metrics, running experiments, and storytelling with data.;1;Understand the importance of data and begin exploring how metrics are used in product decisions.;"Analysts explain basic metrics; Designers validate UI usage
Engineers implement tracking tags and events
Marketing defines campaign performance metrics
";"Read dashboards for active user metrics
Understand what KPIs are tracked by the team
Shadow others reviewing metrics during retrospectives
Take notes on what metrics show success or failure
";"Google Analytics (read-only) – Review traffic
Amplitude or Mixpanel (view dashboards) – Understand user flows
Looker/Tableau (view-only) – Observe product trends
Excel/Google Sheets – Learn basic calculations
";"	Article: What Makes a Good Metric (Amplitude blog)
	Video: Data-Driven Decision Making (Product School)
	Template: PM KPI Starter Pack
🌱 Growth Recommendations:
Write 3 key metrics your team tracks and why
Try creating a manual funnel with data from GA or Amplitude
Ask analysts how data is defined and structured
";
;;2;Use data dashboards confidently, define simple metrics, and derive basic insights to inform product decisions.;"Analysts help build custom dashboards
Engineers instrument tracking
CS/Support give qualitative data that can be quantified
";"Pull and interpret funnel/drop-off data
Track experiment outcomes (success/failure, lift %)
Collaborate on KPI definitions for features
Use data to back up prioritization and iteration plans
";"Mixpanel / Amplitude (dashboards, cohorts)
SQL basics via Metabase or BigQuery
A/B testing tools (Optimizely, Firebase)
Google Sheets (tracking metrics manually)
";"	Book: “Lean Analytics”; Course: SQL for PMs (DataCamp)
	YouTube: Funnel Analysis Explained Simply
	Worksheet: Feature Impact Log
🌱 Growth Recommendations:
Create your own dashboard
Define success metrics before every launch
Run a cohort analysis and present it to your team
";
;;3;Design and track your product’s key metrics end-to-end, identify opportunities through data, and lead decisions based on insights.;"Data engineers manage event pipelines
Analysts model customer behavior
Marketing and PMM define metrics for launches
";"Design event tracking plans
Create dashboards used by the team and leadership
Identify anomalies or trends and take action
Translate business goals into measurable outcomes
";"Amplitude (custom dashboards, retention & engagement)
SQL (Metabase, Redshift, Snowflake)
Heap (auto-capture), PostHog
Klipfolio, Looker (exec dashboards)
";"	Book: “Measure What Matters” (OKRs); “How to Lie with Statistics”
	Course: A/B Testing Mastery (Reforge); SQL crash courses
	Template: North Star Metric Canvas
🌱 Growth Recommendations:
Lead a post-launch analysis with full impact metrics
Define leading and lagging indicators for your team
Run an “insights to iteration” retro with cross-functional peers
";
;;4;Own the design of scalable data practices across teams, define experimentation strategy, and coach others on data fluency.;"Analysts standardize metric definitions
Engineering leads evaluate performance impact
UX researchers triangulate quant + qual signals
";"Set up experimentation roadmap
Define global metrics framework (OKRs → KPIs → events)
Standardize dashboards and tracking for multiple teams
Guide non-data-savvy teammates in interpreting insights
";"Optimizely, LaunchDarkly (experimentation)
Data warehouses (BigQuery, Snowflake)
Internal BI tools (Mode, Tableau Server)
Amplitude Taxonomy Tool or Segment Tracking Plan
";"	Book: “Thinking with Data” (Max Shron);
	Playbook: Spotify’s North Star Metrics;
	Reforge: Metrics & Instrumentation Track
🌱 Growth Recommendations:
Run quarterly KPI reviews; audit metrics health
Build reusable templates for launch success tracking
Lead cross-team workshops on experimentation design
";
;;5;Drive strategic decisions through data synthesis, influence C-level with insight narratives, and shape data culture at the org level.;"CPO reviews metrics at board; CFO relies on forecasts
Growth and Strategy teams model opportunity spaces
Engineering invests in observability based on PMs’ inputs
";"Align product strategy to top-line metrics (LTV, CAC, ARR)
Define investment bets based on multi-dimensional insights
Influence budget and org priorities via data-backed models
Shape a culture of evidence over opinion

";"KPI dashboards (Tableau, Power BI, Google Data Studio)
Forecasting models (Excel + Python/SQL)
Executive reporting templates (Notion, Pitch)
Churn, LTV, NPS dashboards (SurveyMonkey, ProfitWell)
";"	Book: “Competing on Analytics”;
	Case Studies: Airbnb Metrics Framework, Atlassian Data Operating Model
	Masterclass: Data-Driven PM (Lenny’s Newsletter or Reforge)
🌱 Growth Recommendations:
Present data narratives at company-wide reviews
Define a data success culture charter with stakeholders
Partner with execs on data interpretation & strategy pivots
";
Design & UX;"UX & Design in product management refers to the PM’s ability to understand, advocate for, and collaborate on user-centered design. This includes everything from recognizing the value of good UX, to actively shaping experience flows, to driving product strategy with design innovation.
";1;Recognize the impact of UX and design on product success and begin engaging in basic design conversations.;"Designers present mockups and concepts
Researchers share usability findings
Developers explain UI feasibility constraints
";"Attend design reviews
Ask questions about user flows and layout decisions
Read customer feedback and usability notes
Learn to describe product UI in user-centric terms
";"Figma (view-only) – Browse design files
Miro (view user journey maps) – Understand flows
Loom / Google Slides – Watch design presentations
Feedback tools (e.g., Hotjar summaries) – Observe user behavior
";"	Book: “Don’t Make Me Think” (Steve Krug)
	Video: UX Crash Course (DesignCourse YouTube)
	Article: UX Basics for PMs (UX Collective)
🌱 Growth Recommendations:
Join usability test sessions
Map out one user journey
Shadow a designer creating wireframes
";
;;2;Collaborate with designers during the solution phase and advocate for consistent, accessible, and usable design patterns.;"Designers create flows and wireframes
Devs flag feasibility or performance issues
QA checks design-implementation fidelity
";"Define acceptance criteria with UX elements
Clarify user personas and success criteria
Participate in design QA
Use journey mapping in discovery
";"Figma (comment, inspect, tag) – Give structured feedback
Notion / Confluence (design specs) – Document expectations
Design Systems (Material, Polaris) – Understand component behavior
Miro (journey mapping, user empathy)
";"	Book: “Hooked” (Nir Eyal) – Habit-forming product design
	Course: Interaction Design Foundation – UX for PMs
	Guide: Apple Human Interface Guidelines / Material Design Docs
🌱 Growth Recommendations:
Facilitate your first design ideation session
Review analytics on design performance (clicks, drop-offs)
Learn basic accessibility principles
";
;;3;Own the experience vision for your product area, drive user-first feature design, and bridge user needs with technical and business constraints.;"UX researchers validate flow choices
Engineers work on micro-interactions or performance
CX team aligns voice of customer to usability
";"Co-lead design sprints
Define MVP flows with UX acceptance standards
Use usability findings to iterate on features
Manage scope without compromising UX value
";"Maze, Hotjar, FullStory – Track user behavior
FigJam / Miro – Co-create flows with stakeholders
Design Tokens / Components – Ensure scalable design handoffs
Airtable or Notion – Prioritize UX debt
";"	Book: “The Design of Everyday Things” (Don Norman)
	Course: Design Sprint Masterclass (AJ&Smart)
	Podcast: Design Better by InVision
🌱 Growth Recommendations:
Run a post-launch UX improvement sprint
Write a “UX Principles” doc for your product area
Track UX KPIs (task time, error rate, satisfaction)
";
;;4;Create scalable UX processes, improve cross-discipline collaboration, and shape cohesive design systems or philosophies across the product.;"Design leads manage system components
Product Ops optimize design handoffs
Support & Sales share real-world UX gaps
";"Define UX debt strategy across products
Drive accessibility and internationalization standards
Align product roadmaps with UX evolution
Facilitate multi-team alignment on experience goals
";"DesignOps boards (Asana, Jira) – UX task tracking
Accessibility testing tools (Lighthouse, Stark)
Cross-team UX audits (Airtable, Notion)
Figma Plugins – Linting, accessibility, copy, etc.
";"	Book: “Org Design for Design Orgs”
	Course: Nielsen Norman Group – UX Maturity
	Case Studies: Atlassian Design Principles, Airbnb Design Language
🌱 Growth Recommendations:
Lead quarterly UX reviews across squads
Propose UX OKRs for your org
Co-create design ops rituals with UX team
";
;;5;Own experience strategy at the org level, embed UX thinking in company priorities, and lead vision-setting through human-centered design.;"CPO/CXO align design with product/brand vision
Research leads synthesize directional insights
Legal and policy shape inclusive, compliant experiences
";"Evangelize customer-centric product narratives
Lead cross-org experience North Star definition
Influence hiring for experience-centered roles
Champion long-term UX investments
";"Experience vision decks (Pitch, Keynote, Figma)
UX maturity assessments
Persona development frameworks
Experience scorecards (internal tooling or custom dashboards)
";"	Book: “Change by Design” (IDEO)
	Case Study: GOV.UK Design Principles, Shopify Polaris
	Masterclass: Design Leadership (Rosenfeld Media)
🌱 Growth Recommendations:
Host design-forward strategy sessions with execs
Document UX as a strategic asset in roadmaps
Launch org-wide UX health benchmark program
";
GTM & Marketing;GTM & Marketing in product management is about planning, aligning, and executing how the product reaches and resonates with its target audience. This includes launch strategy, messaging, positioning, sales enablement, pricing collaboration, and measuring success post-launch.;1;Understand what a product launch is and how marketing supports user awareness and adoption.;"PMM writes messaging and comms
Marketing sets up campaign tracking
Sales shares feedback on lead quality or objections
";"Attend launch or campaign retrospectives
Read previous launch plans and checklists
Learn key marketing concepts: ICP, funnel, positioning
Understand the roles of PMM, sales, and growth teams
";"	Trello / Notion (read GTM checklist)
	Google Docs (view launch messaging drafts)
	Hubspot / Mailchimp (campaign basics)
	Google Analytics (traffic source awareness)

";"	Book: “Obviously Awesome” (April Dunford)
	Blog: PMM Alliance, First Round Review on PMM
	Video: Intro to Product Marketing (Product School)
🌱 Growth Recommendations:
Join a GTM planning call
Map out a competitor’s marketing funnel
Ask PMM to explain positioning and value props
";
;;2;Support product launches with clear messaging, help identify target segments, and measure basic GTM effectiveness.;"Growth marketing sets up ads or landing pages
PMM and PM align on value proposition and benefits
Customer support prepares FAQs and help center updates

";"Write internal release notes and GTM briefs
Contribute to product messaging and positioning
Review onboarding flow from a user perspective
Align launch timing with readiness and campaigns
";"Canva / Figma (light asset feedback)
HubSpot / Mixpanel (measure traffic & usage)
Loom (record feature walkthroughs)
Notion / Confluence (collaborate on launch docs)
";"	Course: Reforge – Product Marketing Foundations
	Book: “Made to Stick” (Heath brothers)
	Checklist: Product Launch Playbook (Notion template)
🌱 Growth Recommendations:
Run a retrospective on a small release
Track adoption metrics post-launch
Work with PMM to segment early adopters
";
;;3;Own the GTM planning for your product area, align internal stakeholders, and drive cross-functional execution of launches.;"PMM leads outbound messaging and PR
Customer success aligns customer stories or reference programs
Engineering coordinates tech readiness and flags
";"Create GTM briefs with messaging, audience, channels, and timing
Align release plan with support, sales, marketing, and legal
Define pre/post launch success metrics
Tailor adoption playbooks per user persona
";"Asana / Jira (GTM project tracking)
LaunchDarkly / split.io (feature rollout flags)
Intercom / Drift (in-product announcements)
Amplitude (measure engagement by campaign)
";"	Guide: Notion’s “Launch GTM Strategy”
	Book: “Crossing the Chasm”
	Webinar: SaaStr Launch Strategy for B2B SaaS
🌱 Growth Recommendations:
Run end-to-end GTM for a major release
Build reusable GTM checklist templates
Co-own adoption KPIs with PMM or Sales
";
;;4;Build and scale repeatable GTM practices across products or teams, ensuring consistent positioning and operational excellence.;"Revenue ops build sales/marketing playbooks
Design creates templates for launch visuals
PMM conducts voice-of-customer synthesis to sharpen messaging
";"Standardize GTM processes across the product portfolio
Run cross-functional launch calendars
Define messaging frameworks used org-wide
Mentor others on launch and positioning best practices
";"	GTM Launch Hubs (Notion / Airtable)
	Positioning Canvas (Miro / FigJam)
	Executive Brief Templates (Pitch / Google Slides)
	CRM tools (Salesforce, Pipedrive) – Messaging enablement

";"	Book: “Play Bigger” – Category design
	Course: Reforge – Go-to-Market & Growth Loops
	Article: Intercom's Launch Strategy & Customer Narratives
🌱 Growth Recommendations:
Run a GTM health audit across your org
Establish tiered launch levels with matching effort
Facilitate cross-product launch alignment meetings
";
;;5;"Shape the go-to-market and product positioning strategy at a portfolio or company level; align product vision with long-term brand and market differentiation.";"C-Level sets revenue and market expansion goals
Finance/RevOps link GTM to commercial planning
Brand/Design guides long-term product perception
";"Co-define strategic bets and market entry plans
Partner with CMO on branding, messaging pillars
Influence pricing/packaging through customer insights
Champion voice-of-customer into roadmap themes
";"	Strategic dashboards (Tableau, Looker) – Measure GTM impact
	Pricing calculators (custom tooling or spreadsheets)
	Positioning frameworks (e.g., April Dunford’s framework)
	Storytelling templates (Figma, Pitch)

";"	Book: “Influence” (Robert Cialdini)
	Case Studies: Stripe, Figma, Notion GTM evolution
	Masterclass: Brand-Led GTM Strategy (First Round Capital)
🌱 Growth Recommendations:
Create a strategic narrative that connects roadmap to customer needs
Lead a cross-org GTM council
Run experiments for new markets or buyer personas
";
Pricing & Revenue Strategy;Pricing & Revenue in product management refers to a PM’s ability to contribute to and influence the pricing strategy, monetization model, packaging, and overall revenue potential of a product. It includes understanding business models, pricing experimentation, unit economics, and collaboration with sales, finance, and marketing.;1;Become familiar with your product’s pricing model and how it contributes to the business.;"Sales explains deal structuring and objections
Finance provides revenue model overviews
PMM defines how pricing is communicated to customers
";"Understand the current pricing structure (e.g. free, freemium, tiered)
Learn how the company makes money from the product
Read pricing pages and competitor pricing
Attend pricing-related meetings as an observer
";"Company pricing sheet (Notion, Confluence)
Google Sheets (simple pricing breakdowns)
Competitor analysis tools (G2, Capterra)
Sales enablement decks (read-only)
";"	Article: Intro to SaaS Pricing Models
	Book: “Monetizing Innovation” (Madhavan Ramanujam)
	Blog: ProfitWell and OpenView Partners pricing guides
🌱 Growth Recommendations:
Interview a sales or support rep about pricing objections
Map out pricing tiers for your product and competitors
Join a pricing workshop or webinar
";"The Pricing & Revenue domain directly overlaps with core responsibilities of Growth Product Managers, and increasingly with Strategic PMs and PMs with P&L ownership. Let me map this out for clarity and show how you can position this domain in your PM Scope framework:

🧭 Why Pricing & Revenue Is Central to Growth and Strategic PM Work
🔗 Key Role Overlaps
Role Type
How Pricing & Revenue Applies
Growth PM
Optimizes monetization, runs pricing experiments, improves conversion, activation, retention, and LTV.
Strategic PM
Aligns pricing and revenue streams with long-term business strategy, defines market differentiation.
Product Leader / GM
Owns P&L, defines the monetization roadmap, integrates pricing with cross-functional plans.
Platform PM
Sets internal usage quotas/pricing for API-based or multi-tenant systems.


🏗 How to Integrate This into PM Scope
1. Rename or Subtitle the Domain (if needed):
To make it clearer that this is about monetization strategy and not just “putting price tags,” consider:
Pricing & Monetization
Revenue Strategy
Monetization & Growth Strategy
2. Reinforce the Link to P&L
Add to the Grade 4–5 activities:
Grade 4: “Analyze full customer acquisition cost (CAC) vs lifetime value (LTV), gross margin by segment, and suggest roadmap trade-offs to improve unit economics.”
Grade 5: “Own P&L for a product line; drive cross-departmental initiatives that directly influence revenue and profitability.”
3. Tie It to Strategy and Execution
Add cross-links to:
Strategy & Vision → pricing as a strategic moat
Execution & Delivery → pricing affects feature prioritization
Customer Discovery / Market Discovery → understand value perception and willingness to pay

💡 Bonus: PM Toolkit for Pricing-Powered Growth
Here are tools and frameworks a PM should grow into:
Level
Tools & Models
L1–2
Tiered pricing examples, simple ROI calculators
L3
Feature usage tracking + basic churn/retention analytics (Mixpanel, Amplitude)
L4
Unit economics dashboards (e.g., CAC, LTV, Payback) via Looker / Tableau
L5
Scenario modeling tools, pricing simulation spreadsheets, B2B discounting strategy, PLG funnels


📈 Final Thought: Product-Led Growth & Revenue PMs
This domain becomes a core driver of strategic influence in Product-Led companies — where pricing and product are tightly coupled, and experiments in onboarding, freemium tiers, packaging, and virality loops directly impact revenue.
"
;;2;Participate in pricing discussions and support small changes to pricing, packaging, or monetization models.;"PMM drafts messaging for new tiers
Legal/Compliance reviews contract language
CS team flags friction or confusion due to pricing
";"Contribute to packaging decisions (what goes in each plan)
Support creation of pricing experiment hypotheses
Collect feedback from customers and stakeholders about value perception
Work with marketing on pricing page clarity
";"	Pricing calculators (basic models in Sheets)
	SurveyMonkey / Typeform (value-based pricing surveys)
	Feature flagging tools (LaunchDarkly, Split)
	Mixpanel / Amplitude (feature usage by plan)

";"	Book: “The Psychology of Price” (Leigh Caldwell)
	Video: Value-based pricing (ProfitWell YouTube)
	Guide: Figma’s pricing evolution case study
🌱 Growth Recommendations:
Co-design a feature gating strategy by pricing tier
Present a pricing tweak proposal to PMM or finance
Map cost-to-serve vs willingness to pay
";
